Grade_Level,0,1,2,3
Grade 1,46.770672829994865,23.04185927067283,18.072675911658962,12.114791987673344
Grade 10,42.8228097006773,24.674095113247397,21.557060665647075,10.94603452042823
Grade 11,45.41160071246031,20.498722217919926,21.87717803763649,12.212499031983274
Grade 12,38.64880530688478,27.854704707928125,20.106910542925228,13.389579442261867
Grade 2,44.36877562975981,20.247510251903925,20.97246631517282,14.411247803163443
Grade 3,46.57525038650265,24.76305706795725,15.695368689924043,12.966323855616052
Grade 4,42.626389762953636,23.473882945248583,22.264177330256626,11.635549961541152
Grade 5,38.7540722026461,29.964762981184762,18.336546772156108,12.944618044013032
Grade 6,46.451972675310195,21.288163948138855,19.56642966680608,12.693433709744879
Grade 7,47.985963886248996,19.5555230645515,19.5555230645515,12.902989984648
Grade 8,42.972645196065216,25.488478641692495,19.242689664465708,12.29618649777658
Grade 9,42.47503566333809,22.746077032810273,22.696148359486447,12.082738944365193
K,43.30747186691829,23.49898651009995,21.122527434123157,12.0710141888586
